分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 29 ms, 最高速率: 35.52 M/s, 平均速率: 30.27 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 29 ms, 最高速率: 37.67 M/s, 平均速率: 27.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 20, IPv6: 0, 最小延迟: 29 ms, 最高速率: 38.73 M/s, 平均速率: 30.27 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 4, IPv4: 26, IPv6: 0, 最小延迟: 56 ms, 最高速率: 19.81 M/s, 平均速率: 17.71 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 31, IPv6: 0, 最小延迟: 27 ms, 最高速率: 41.36 M/s, 平均速率: 27.42 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 28, IPv6: 0, 最小延迟: 1018 ms, 最高速率: 0.75 M/s, 平均速率: 0.73 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 30 ms, 最高速率: 38.63 M/s, 平均速率: 27.36 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 29 ms, 最高速率: 36.86 M/s, 平均速率: 35.31 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 26 ms, 最高速率: 38.89 M/s, 平均速率: 18.57 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 4, IPv4: 32, IPv6: 0, 最小延迟: 1008 ms, 最高速率: 1.72 M/s, 平均速率: 1.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 4, IPv4: 28, IPv6: 0, 最小延迟: 57 ms, 最高速率: 20.13 M/s, 平均速率: 18.85 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 22, IPv6: 0, 最小延迟: 55 ms, 最高速率: 18.56 M/s, 平均速率: 16.46 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 23, IPv6: 0, 最小延迟: 60 ms, 最高速率: 18.46 M/s, 平均速率: 13.62 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 48 ms, 最高速率: 20.66 M/s, 平均速率: 18.77 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 14, IPv6: 0, 最小延迟: 27 ms, 最高速率: 37.80 M/s, 平均速率: 14.41 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 52 ms, 最高速率: 27.16 M/s, 平均速率: 20.36 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 6, IPv4: 27, IPv6: 0, 最小延迟: 49 ms, 最高速率: 20.48 M/s, 平均速率: 15.97 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 55 ms, 最高速率: 29.69 M/s, 平均速率: 19.70 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 53 ms, 最高速率: 19.69 M/s, 平均速率: 17.98 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 4, IPv4: 31, IPv6: 0, 最小延迟: 53 ms, 最高速率: 18.74 M/s, 平均速率: 15.59 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 58 ms, 最高速率: 19.74 M/s, 平均速率: 10.65 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 4, IPv4: 13, IPv6: 0, 最小延迟: 44 ms, 最高速率: 19.53 M/s, 平均速率: 17.02 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 18, IPv6: 0, 最小延迟: 46 ms, 最高速率: 20.23 M/s, 平均速率: 18.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 4, IPv4: 32, IPv6: 0, 最小延迟: 49 ms, 最高速率: 20.82 M/s, 平均速率: 19.97 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东珠江, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 421 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广东体育, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 1464 ms, 最高速率: 0.38 M/s, 平均速率: 0.38 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广东新闻, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 418 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广东民生, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 421 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广州综合, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 1232 ms, 最高速率: 0.61 M/s, 平均速率: 0.58 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广州竞赛, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 379 ms, 最高速率: 15.95 M/s, 平均速率: 15.95 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 4, IPv4: 12, IPv6: 0, 最小延迟: 27 ms, 最高速率: 36.02 M/s, 平均速率: 33.17 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广州影视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
